state,date1,date2,n,rate,lwr,upr,metric,survey
NH,7/30/2020,8/11/2020,809,0.8,0.22,1.48,N,Commerical
NJ,7/31/2020,8/11/2020,871,14.8,12.23,17.57,N,Commerical
NM,7/29/2020,8/13/2020,964,2,1.09,3.02,N,Commerical
NV,7/30/2020,8/2/2020,979,5.1,3.63,6.66,N,Commerical
NY,7/31/2020,8/11/2020,846,23.3,20.07,26.32,N,Commerical
OH,7/29/2020,8/11/2020,786,2.3,1.11,3.61,N,Commerical
OK,7/28/2020,8/4/2020,979,1.6,0.85,2.49,N,Commerical
OR,8/5/2020,8/11/2020,658,2.3,1.03,3.84,N,Commerical
PA,7/31/2020,8/11/2020,575,10.2,5.71,17.21,N,Commerical
PR,7/27/2020,8/7/2020,984,1.1,0.43,1.8,N,Commerical
RI,7/30/2020,8/11/2020,684,3,1.23,5.51,N,Commerical
SC,7/30/2020,8/13/2020,840,8.1,5.79,10.69,N,Commerical
SD,7/29/2020,8/12/2020,47,777,NA,NA,N,Commerical
TN,7/30/2020,8/11/2020,1003,6.3,4.41,8.25,N,Commerical
TX,7/29/2020,8/5/2020,986,5.9,4.04,7.95,N,Commerical
UT,7/30/2020,8/11/2020,880,3.2,1.7,5.03,N,Commerical
VA,7/31/2020,8/11/2020,730,4.1,1.8,6.93,N,Commerical
VT,7/30/2020,8/11/2020,346,0.5,0,1.84,N,Commerical
WA,7/29/2020,8/11/2020,684,2.1,0.81,3.7,N,Commerical
WI,7/30/2020,8/13/2020,814,1.8,0.76,3.18,N,Commerical
WV,7/30/2020,8/13/2020,317,1.2,0.23,2.5,N,Commerical
WY,7/29/2020,8/11/2020,71,777,NA,NA,N,Commerical
AK,8/12/2020,8/26/2020,704,1.3,0.5,2.33,N,Commerical
AL,8/12/2020,8/26/2020,974,7.6,5.33,9.76,N,Commerical
AR,8/11/2020,8/25/2020,998,3,1.76,4.35,N,Commerical
AZ,8/12/2020,8/26/2020,1304,4.7,2.7,7.61,N,Commerical
CA,8/13/2020,8/19/2020,980,4.3,2.85,6.06,N,Commerical
CO,8/10/2020,8/25/2020,1019,3.3,1.83,4.8,N,Commerical
CT,8/11/2020,8/24/2020,983,2.4,1.45,3.52,N,Commerical
DC,8/13/2020,8/27/2020,781,6.8,4.59,9.21,N,Commerical
DE,8/12/2020,8/27/2020,1004,8.5,5.79,11.25,N,Commerical
FL,8/14/2020,8/14/2020,978,4.5,3.15,6.06,N,Commerical
GA,8/13/2020,8/26/2020,1031,7.4,5.52,9.51,N,Commerical
HI,8/14/2020,8/26/2020,9,777,NA,NA,N,Commerical
IA,8/12/2020,8/27/2020,980,9.4,7.12,11.63,N,Commerical
ID,8/12/2020,8/26/2020,651,4.6,1.67,9.05,N,Commerical
IL,8/12/2020,8/27/2020,985,4.9,3.4,6.65,N,Commerical
IN,8/12/2020,8/26/2020,906,3.1,1.53,4.76,N,Commerical
KS,8/11/2020,8/25/2020,1016,3.7,2.02,5.47,N,Commerical
KY,8/12/2020,8/26/2020,1126,3.1,2.05,4.49,N,Commerical
LA,8/12/2020,8/25/2020,989,11.8,9.27,14.81,N,Commerical
MA,8/12/2020,8/27/2020,980,3.7,2.27,5.21,N,Commerical
MD,8/10/2020,8/26/2020,1174,7,4.92,9.33,N,Commerical
ME,8/12/2020,8/27/2020,609,0.6,0,1.44,N,Commerical
MI,8/12/2020,8/25/2020,983,4.2,2.88,5.76,N,Commerical
MN,8/11/2020,8/27/2020,978,4.5,3.05,5.87,N,Commerical
MO,8/12/2020,8/21/2020,1021,3.5,2.23,5.06,N,Commerical
MS,8/12/2020,8/27/2020,968,10,6.69,14.71,N,Commerical
MT,8/12/2020,8/24/2020,383,1.3,0.38,2.49,N,Commerical
NC,8/11/2020,8/27/2020,982,3.8,2.33,5.29,N,Commerical
ND,8/12/2020,8/26/2020,135,0.6,0,1.45,N,Commerical
NE,8/11/2020,8/25/2020,990,7.9,5.51,10.61,N,Commerical
NH,8/13/2020,8/25/2020,1125,0.8,0.3,1.22,N,Commerical
NJ,8/10/2020,8/26/2020,1127,12.2,10.15,14.53,N,Commerical
NM,8/10/2020,8/27/2020,976,2.5,1.47,3.79,N,Commerical
NV,8/12/2020,8/26/2020,972,7.9,6.13,9.83,N,Commerical
NY,8/10/2020,8/26/2020,1122,20.6,18.04,23.14,N,Commerical
OH,8/12/2020,8/27/2020,985,2.1,1.06,3.29,N,Commerical
OK,8/10/2020,8/18/2020,979,4,2.72,5.51,N,Commerical
OR,8/10/2020,8/27/2020,1086,2.4,1.41,3.6,N,Commerical
PA,8/10/2020,8/26/2020,887,10.1,7.53,13.74,N,Commerical
PR,8/10/2020,8/17/2020,986,2.2,1.18,3.26,N,Commerical
RI,8/12/2020,8/27/2020,570,3.6,1.69,5.89,N,Commerical
SC,8/12/2020,8/27/2020,1063,6,4.37,7.95,N,Commerical
SD,8/12/2020,8/26/2020,83,0,0,4.35,N,Commerical
TN,8/12/2020,8/26/2020,1029,6.7,5.11,8.57,N,Commerical
TX,8/12/2020,8/24/2020,1001,6.5,4.69,8.47,N,Commerical
UT,8/15/2020,8/25/2020,871,5.5,2.94,8.71,N,Commerical
VA,8/10/2020,8/26/2020,1243,4.7,2.51,7.22,N,Commerical
VT,8/13/2020,8/27/2020,382,0.3,0,0.81,N,Commerical
WA,8/12/2020,8/27/2020,1238,3,1.79,4.47,N,Commerical
WI,8/12/2020,8/27/2020,838,3.3,2.03,4.72,N,Commerical
WV,8/13/2020,8/27/2020,637,2.2,0.52,4.9,N,Commerical
WY,8/13/2020,8/24/2020,86,0.8,0,3.11,N,Commerical
AK,8/26/2020,9/9/2020,610,1,0.24,2.17,N,Commerical
AL,8/26/2020,9/8/2020,955,9.9,7.19,12.79,N,Commerical
AR,8/24/2020,9/8/2020,992,4.9,3.5,6.41,N,Commerical
AZ,8/26/2020,9/9/2020,1030,4.9,3.05,7.11,N,Commerical
CA,8/28/2020,9/9/2020,983,6,4.2,7.82,N,Commerical
CO,8/24/2020,9/4/2020,1025,3.6,2.31,5.09,N,Commerical
CT,8/26/2020,9/4/2020,983,4.3,2.9,5.69,N,Commerical
DC,8/27/2020,9/10/2020,643,5,2.83,7.55,N,Commerical
DE,8/26/2020,9/10/2020,914,4.5,2.42,7.12,N,Commerical
FL,8/27/2020,9/9/2020,981,5.7,3.93,7.49,N,Commerical
GA,8/25/2020,9/10/2020,1020,8.7,6.69,11.14,N,Commerical
HI,8/28/2020,9/9/2020,12,777,NA,NA,N,Commerical
IA,8/25/2020,9/10/2020,1006,8.4,6.15,10.74,N,Commerical
ID,8/26/2020,9/10/2020,790,5.7,2.9,9.7,N,Commerical
IL,8/26/2020,9/3/2020,979,5.6,3.9,7.67,N,Commerical
IN,8/26/2020,9/9/2020,984,2.4,1.36,3.52,N,Commerical
KS,8/24/2020,9/3/2020,1025,2.9,1.57,4.31,N,Commerical
KY,8/26/2020,9/8/2020,983,3.1,1.91,4.33,N,Commerical
LA,8/26/2020,9/8/2020,1001,8.6,6.65,11.3,N,Commerical
MA,8/27/2020,9/5/2020,981,3.6,2.36,5.08,N,Commerical
MD,8/26/2020,9/8/2020,980,7.9,5.72,10.35,N,Commerical
ME,8/26/2020,9/10/2020,759,1.5,0.44,3.22,N,Commerical
MI,8/26/2020,9/3/2020,976,3.4,2.16,4.95,N,Commerical
MN,8/26/2020,9/8/2020,974,9.2,6.71,11.95,N,Commerical
MO,8/24/2020,9/10/2020,1024,2.9,1.74,4.17,N,Commerical
MS,8/26/2020,9/10/2020,987,8.4,4.89,12.73,N,Commerical
MT,8/24/2020,9/9/2020,518,0.9,0.23,1.82,N,Commerical
NC,8/26/2020,9/9/2020,982,3.8,2.33,5.26,N,Commerical
ND,8/26/2020,9/9/2020,109,0.2,0,0.99,N,Commerical
NE,8/24/2020,9/10/2020,938,6.3,4.47,8.27,N,Commerical
NH,8/26/2020,9/3/2020,1147,1.6,0.73,2.84,N,Commerical
NJ,8/26/2020,9/7/2020,944,12.8,10.49,15.35,N,Commerical
NM,8/25/2020,9/8/2020,985,3.7,2.28,5.55,N,Commerical
NV,8/27/2020,8/29/2020,980,6.5,4.63,8.58,N,Commerical
NY,8/26/2020,9/10/2020,1043,19.5,16.88,22.38,N,Commerical
OH,8/27/2020,9/10/2020,983,5,3.17,7.14,N,Commerical
OK,8/24/2020,9/1/2020,979,5.4,3.83,7.29,N,Commerical
OR,8/26/2020,9/10/2020,968,1.9,0.92,2.94,N,Commerical
PA,8/26/2020,9/9/2020,845,9.5,6.58,13.56,N,Commerical
PR,8/24/2020,9/3/2020,980,2.5,1.36,3.76,N,Commerical
RI,8/27/2020,9/10/2020,786,3.1,1.73,4.64,N,Commerical
SC,8/26/2020,9/10/2020,927,7.2,5.12,9.57,N,Commerical
SD,8/26/2020,9/10/2020,97,0.7,0,2.47,N,Commerical
TN,8/25/2020,9/8/2020,950,5.4,3.62,7.31,N,Commerical
TX,8/25/2020,9/2/2020,979,5.8,4.04,7.92,N,Commerical
UT,8/24/2020,9/8/2020,1104,4.9,2.82,7.67,N,Commerical
VA,8/26/2020,9/8/2020,1007,3.5,1.97,5.26,N,Commerical
VT,8/26/2020,9/10/2020,485,0.4,0,0.94,N,Commerical
WA,8/25/2020,9/10/2020,820,4.5,2.63,6.94,N,Commerical
WI,8/25/2020,9/10/2020,976,2.6,1.48,3.95,N,Commerical
WV,8/26/2020,9/10/2020,1128,1.5,0.78,2.38,N,Commerical
WY,8/24/2020,9/9/2020,70,777,NA,NA,N,Commerical
AK,9/9/2020,9/18/2020,681,0.4,0.11,0.82,N,Commerical
AL,9/9/2020,9/18/2020,905,8.7,6.19,11.31,N,Commerical
AR,9/9/2020,9/18/2020,990,6.3,4.6,8.03,N,Commerical
AZ,9/9/2020,9/23/2020,1208,5.4,3.08,8.52,N,Commerical
CA,9/10/2020,9/16/2020,979,4.9,3.17,6.85,N,Commerical
CO,9/9/2020,9/18/2020,1032,3.3,1.9,4.92,N,Commerical
CT,9/9/2020,9/14/2020,982,3.1,2.06,4.37,N,Commerical
DC,9/8/2020,9/24/2020,976,6.5,4.47,8.29,N,Commerical
DE,9/9/2020,9/24/2020,980,7.5,4.89,10.5,N,Commerical
FL,9/11/2020,9/11/2020,979,8.5,6.55,10.68,N,Commerical
GA,9/9/2020,9/18/2020,1100,13,10.51,15.79,N,Commerical
HI,9/8/2020,9/22/2020,516,0.8,0,2.18,N,Commerical
IA,9/9/2020,9/24/2020,977,7.6,5.56,10.02,N,Commerical
ID,9/8/2020,9/18/2020,732,5.2,2.74,8.46,N,Commerical
IL,9/8/2020,9/17/2020,992,4.5,3.1,6.07,N,Commerical
IN,9/9/2020,9/23/2020,1155,4,1.44,8.79,N,Commerical
KS,9/9/2020,9/19/2020,1007,3.5,2.31,4.84,N,Commerical
KY,9/9/2020,9/18/2020,980,3.6,2.33,5.21,N,Commerical
LA,9/9/2020,9/19/2020,952,12.5,10.02,15.61,N,Commerical
MA,9/9/2020,9/15/2020,988,3.7,2.23,5.16,N,Commerical
MD,9/10/2020,9/23/2020,1242,10.2,7.91,12.68,N,Commerical
ME,9/8/2020,9/24/2020,987,0.5,0.09,0.87,N,Commerical
MI,9/8/2020,9/22/2020,980,3.7,2.54,4.93,N,Commerical
MN,9/9/2020,9/23/2020,1033,8,4.74,11.43,N,Commerical
MO,9/8/2020,9/24/2020,1031,3.5,2.15,5.01,N,Commerical
MS,9/9/2020,9/22/2020,980,7.9,5.35,10.87,N,Commerical
MT,9/9/2020,9/23/2020,508,2.2,0.67,4.38,N,Commerical
NC,9/9/2020,9/17/2020,925,6.8,4.83,8.87,N,Commerical
ND,9/9/2020,9/24/2020,113,1.2,0,3.4,N,Commerical
NE,9/9/2020,9/18/2020,976,6.7,4.8,8.88,N,Commerical
NH,9/9/2020,9/17/2020,1034,0.7,0.26,1.32,N,Commerical
NJ,9/9/2020,9/23/2020,1050,15.1,12.65,17.63,N,Commerical
NM,9/8/2020,9/24/2020,1014,2.4,1.19,3.65,N,Commerical
NV,9/9/2020,9/12/2020,979,7.8,5.9,9.99,N,Commerical
NY,9/11/2020,9/24/2020,1168,17,14.72,19.23,N,Commerical
OH,9/10/2020,9/22/2020,978,2.8,1.69,4.16,N,Commerical
OK,9/9/2020,9/18/2020,980,5,3.44,6.54,N,Commerical
OR,9/8/2020,9/22/2020,971,2.6,1.51,4.06,N,Commerical
PA,9/9/2020,9/23/2020,1341,11.1,8.85,13.71,N,Commerical
PR,9/8/2020,9/15/2020,970,3,1.78,4.27,N,Commerical
RI,9/9/2020,9/24/2020,795,2.7,1.15,4.91,N,Commerical
SC,9/9/2020,9/18/2020,975,7.8,5.58,10.19,N,Commerical
SD,9/9/2020,9/23/2020,99,1.8,0,4.82,N,Commerical
TN,9/8/2020,9/16/2020,1028,6.7,4.96,8.57,N,Commerical
TX,9/9/2020,9/24/2020,988,8.2,6.16,10.47,N,Commerical
UT,9/9/2020,9/18/2020,1022,5.1,3.29,7.9,N,Commerical
VA,9/10/2020,9/23/2020,1111,3.2,1.81,5.13,N,Commerical
VT,9/9/2020,9/24/2020,497,1.7,0.27,4.15,N,Commerical
WA,9/9/2020,9/22/2020,968,2.5,1.29,3.83,N,Commerical
WI,9/9/2020,9/24/2020,976,3.8,2.2,5.73,N,Commerical
WV,9/9/2020,9/22/2020,968,1.3,0.51,2.18,N,Commerical
WY,9/9/2020,9/24/2020,111,1.5,0,3.97,N,Commerical
AK,9/22/2020,10/7/2020,994,0.9,0.4,1.54,N,Commerical
AL,9/21/2020,10/7/2020,942,8.9,6.58,11.38,N,Commerical
AR,9/23/2020,10/7/2020,929,4.3,2.78,5.74,N,Commerical
AZ,9/22/2020,10/7/2020,764,7.9,2.96,14.43,N,Commerical
CA,9/25/2020,9/30/2020,979,4.1,2.61,5.64,N,Commerical
CO,9/24/2020,10/7/2020,951,3,1.7,4.54,N,Commerical
CT,9/24/2020,9/30/2020,984,2.5,1.47,3.8,N,Commerical
DC,9/23/2020,10/8/2020,676,5,3.26,7.15,N,Commerical
DE,9/23/2020,10/8/2020,976,6,4.07,8.12,N,Commerical
FL,9/25/2020,9/25/2020,981,7.9,6.09,9.91,N,Commerical
GA,9/23/2020,10/7/2020,979,10.4,7.68,13.1,N,Commerical
HI,9/22/2020,10/8/2020,575,1.7,0.1,10.5,N,Commerical
IA,9/23/2020,10/7/2020,941,8.3,6.33,10.36,N,Commerical
ID,9/23/2020,10/7/2020,977,4.9,2.73,7.17,N,Commerical
IL,9/23/2020,10/1/2020,923,5.4,3.81,7.18,N,Commerical
IN,9/21/2020,10/7/2020,1011,6,2.14,12.02,N,Commerical
KS,9/22/2020,10/8/2020,936,5,3.53,6.72,N,Commerical
KY,9/23/2020,10/6/2020,978,2.3,1.29,3.46,N,Commerical
LA,9/23/2020,10/6/2020,977,12,9.63,14.45,N,Commerical
MA,9/25/2020,10/1/2020,988,2.8,1.76,4.04,N,Commerical
MD,9/21/2020,10/5/2020,1058,9.9,7.8,12.2,N,Commerical
ME,9/25/2020,10/8/2020,911,0.5,0.08,1.16,N,Commerical
MI,9/22/2020,10/2/2020,979,3.4,2.33,4.48,N,Commerical
MN,9/23/2020,10/6/2020,980,4.4,2.92,5.95,N,Commerical
MO,9/21/2020,10/2/2020,965,5.9,4.19,8.12,N,Commerical
MS,9/23/2020,10/6/2020,984,5.5,3.82,7.31,N,Commerical
MT,9/23/2020,10/8/2020,706,2.7,0.6,6.52,N,Commerical
NC,9/23/2020,10/2/2020,932,6.7,4.74,8.89,N,Commerical
ND,9/23/2020,10/5/2020,61,777,NA,NA,N,Commerical
NE,9/23/2020,10/7/2020,927,10,7.16,12.88,N,Commerical
NH,9/25/2020,10/1/2020,957,1,0.28,2.23,N,Commerical
NJ,9/21/2020,10/7/2020,958,16,13.57,18.74,N,Commerical
NM,9/23/2020,10/6/2020,979,3.6,2.29,5.07,N,Commerical
NV,9/23/2020,9/26/2020,980,7.8,5.85,9.94,N,Commerical
NY,9/20/2020,10/7/2020,822,22.8,19.2,26.54,N,Commerical
OH,9/23/2020,10/8/2020,976,2.4,1.26,3.64,N,Commerical
OK,9/23/2020,9/29/2020,979,5.6,3.78,7.36,N,Commerical
OR,9/20/2020,10/7/2020,972,2.5,0.57,5.68,N,Commerical
PA,9/20/2020,10/5/2020,1255,10.7,8.17,13.78,N,Commerical
PR,9/21/2020,9/28/2020,980,3.2,1.88,4.71,N,Commerical
RI,9/25/2020,10/8/2020,864,4.2,2.57,6.27,N,Commerical
SC,9/23/2020,10/7/2020,816,9.1,6.39,11.78,N,Commerical
SD,9/22/2020,10/4/2020,72,777,NA,NA,N,Commerical
TN,9/23/2020,10/7/2020,976,9.1,6.83,11.4,N,Commerical
TX,9/23/2020,10/5/2020,981,7.2,5.19,9.56,N,Commerical
UT,9/23/2020,10/7/2020,937,5.3,3.61,7.31,N,Commerical
VA,9/21/2020,10/5/2020,899,5,2.34,9.26,N,Commerical
VT,9/25/2020,10/8/2020,514,0.5,0,1.19,N,Commerical
WA,9/22/2020,10/8/2020,1024,2.3,1.25,3.6,N,Commerical
WI,9/23/2020,10/6/2020,978,3.1,1.96,4.62,N,Commerical
WV,9/23/2020,10/8/2020,959,3.2,1.11,6.18,N,Commerical
WY,9/23/2020,10/7/2020,118,4.2,0.68,9.25,N,Commerical
AK,10/6/2020,10/21/2020,971,1.5,0.79,2.46,N,Commerical
AL,10/7/2020,10/21/2020,996,12.3,10,14.99,N,Commerical
AR,10/7/2020,10/22/2020,971,9,7.14,11.38,N,Commerical
AZ,10/7/2020,10/21/2020,940,4.8,2.55,7.89,N,Commerical
CA,10/8/2020,10/13/2020,980,4.5,2.9,6.42,N,Commerical
CO,10/8/2020,10/19/2020,978,4.4,2.82,6.51,N,Commerical
CT,10/8/2020,10/13/2020,988,2.3,1.32,3.52,N,Commerical
DC,10/7/2020,10/22/2020,1027,6.8,4.99,8.89,N,Commerical
DE,10/7/2020,10/22/2020,980,7.4,4.95,9.88,N,Commerical
FL,10/9/2020,10/9/2020,983,8,6.01,10.22,N,Commerical
GA,10/6/2020,10/13/2020,1008,8.5,6.17,11.18,N,Commerical
HI,10/6/2020,10/22/2020,439,2,0.55,4.19,N,Commerical
IA,10/7/2020,10/22/2020,976,13,9.28,18.19,N,Commerical
ID,10/5/2020,10/21/2020,985,4.2,2.64,6.02,N,Commerical
IL,10/7/2020,10/13/2020,979,5.8,4.14,7.54,N,Commerical
IN,10/7/2020,10/20/2020,1223,4.6,2.27,7.83,N,Commerical
KS,10/6/2020,10/22/2020,967,7.1,5.16,9.18,N,Commerical
KY,10/7/2020,10/16/2020,980,3.3,1.95,4.72,N,Commerical
LA,10/6/2020,10/19/2020,980,9.8,7.36,12.46,N,Commerical
MA,10/9/2020,10/13/2020,979,2.6,1.5,3.88,N,Commerical
MD,10/10/2020,10/21/2020,627,11.4,8.27,14.84,N,Commerical
ME,10/9/2020,10/22/2020,983,0.6,0.16,1.25,N,Commerical
MI,10/6/2020,10/16/2020,979,3.2,1.96,4.55,N,Commerical
MN,10/6/2020,10/22/2020,984,7.5,5.36,10.01,N,Commerical
MO,10/7/2020,10/15/2020,976,6.5,4.37,8.64,N,Commerical
MS,10/5/2020,10/20/2020,972,13.1,9.4,17.24,N,Commerical
MT,10/7/2020,10/21/2020,588,3.2,1.57,5.01,N,Commerical
NC,10/6/2020,10/19/2020,995,3.5,2.05,5.04,N,Commerical
ND,10/6/2020,10/16/2020,55,777,NA,NA,N,Commerical
NE,10/7/2020,10/21/2020,966,11.3,8.6,14.13,N,Commerical
NH,10/9/2020,10/15/2020,980,0.8,0.31,1.42,N,Commerical
NJ,10/7/2020,10/21/2020,889,12.4,10.02,15.17,N,Commerical
NM,10/6/2020,10/20/2020,976,4.8,3.26,6.62,N,Commerical
NV,10/6/2020,10/16/2020,981,8.2,6.4,10.06,N,Commerical
NY,10/9/2020,10/21/2020,820,21.9,18.72,25.25,N,Commerical
OH,10/6/2020,10/22/2020,980,1.8,0.94,2.75,N,Commerical
OK,10/7/2020,10/14/2020,980,7.4,5.08,9.71,N,Commerical
OR,10/7/2020,10/19/2020,972,2.1,0.87,3.59,N,Commerical
PA,10/8/2020,10/21/2020,946,10.5,8.39,13.16,N,Commerical
PR,10/5/2020,10/13/2020,980,2.8,1.64,4.38,N,Commerical
RI,10/9/2020,10/22/2020,760,2.4,1.43,3.54,N,Commerical
SC,10/7/2020,10/21/2020,1031,8,5.78,10.49,N,Commerical
SD,10/7/2020,10/22/2020,34,777,NA,NA,N,Commerical
TN,10/7/2020,10/15/2020,995,9.9,7.49,12.26,N,Commerical
TX,10/5/2020,10/19/2020,992,10.4,8.15,12.98,N,Commerical
UT,10/5/2020,10/21/2020,978,9.1,6.3,11.99,N,Commerical
VA,10/9/2020,10/21/2020,864,4.1,2.41,6.2,N,Commerical
VT,10/9/2020,10/22/2020,472,0.4,0,1.22,N,Commerical
WA,10/7/2020,10/21/2020,974,2,0.91,3.21,N,Commerical
WI,10/7/2020,10/22/2020,973,5,3.41,6.98,N,Commerical
WV,10/7/2020,10/22/2020,1124,2.2,1.29,3.3,N,Commerical
WY,10/8/2020,10/21/2020,123,2.6,0.46,5.78,N,Commerical
AK,10/30/2020,11/13/2020,1413,6.3,3.68,10.57,N,Commerical
AL,10/26/2020,11/9/2020,1538,9.2,7.57,10.99,N,Commerical
AR,10/26/2020,11/6/2020,1500,6.5,5.15,7.98,N,Commerical
AZ,10/26/2020,11/10/2020,1800,9.6,8.08,11.12,N,Commerical
CA,10/26/2020,11/12/2020,1315,6.6,5.09,8.12,N,Commerical
CO,10/30/2020,11/13/2020,1293,5,3.35,6.8,N,Commerical
CT,11/2/2020,11/14/2020,1009,3.5,2.09,4.99,N,Commerical
DC,10/27/2020,11/11/2020,1175,8.8,6.97,10.67,N,Commerical
DE,10/26/2020,11/9/2020,949,10.4,7.72,13.62,N,Commerical
FL,10/27/2020,11/4/2020,1360,7.6,6.02,9.11,N,Commerical
GA,10/27/2020,11/13/2020,1330,12.4,10.01,14.88,N,Commerical
HI,10/29/2020,11/15/2020,1064,2.9,1.66,4.68,N,Commerical
IA,10/28/2020,11/13/2020,1193,11.9,9.37,14.58,N,Commerical
ID,10/30/2020,11/13/2020,1302,6.3,4.19,8.96,N,Commerical
IL,10/26/2020,11/7/2020,1557,12.9,10.87,14.94,N,Commerical
IN,10/29/2020,11/11/2020,1222,6.3,4.25,8.59,N,Commerical
KS,11/1/2020,11/15/2020,1317,5.5,4.17,7.06,N,Commerical
KY,10/26/2020,11/10/2020,1588,7.5,5.88,9.43,N,Commerical
LA,10/28/2020,11/14/2020,1316,9.7,7.49,11.78,N,Commerical
MA,11/2/2020,11/11/2020,1115,3.8,2.48,5.2,N,Commerical
MD,10/29/2020,11/11/2020,1312,7.2,5.3,9.36,N,Commerical
ME,11/2/2020,11/13/2020,995,1,0.33,1.79,N,Commerical
MI,10/26/2020,11/13/2020,1616,8.6,6.43,11.05,N,Commerical
MN,10/29/2020,11/13/2020,1303,8.4,6.79,10.14,N,Commerical
MO,11/2/2020,11/10/2020,1507,6.1,4.32,7.97,N,Commerical
MS,10/25/2020,11/9/2020,1530,11,9.31,13.11,N,Commerical
MT,10/30/2020,11/13/2020,516,7.7,4.98,11,N,Commerical
NC,10/27/2020,11/10/2020,1520,7.5,5.89,8.92,N,Commerical
ND,10/26/2020,11/9/2020,39,777,NA,NA,N,Commerical
NE,10/30/2020,11/14/2020,1288,11.9,9.58,14.2,N,Commerical
NH,11/2/2020,11/7/2020,1299,1.1,0.38,1.97,N,Commerical
NJ,10/29/2020,11/11/2020,1236,11.9,10.04,13.87,N,Commerical
NM,10/30/2020,11/15/2020,1337,7.5,5.68,9.39,N,Commerical
NV,10/25/2020,11/9/2020,1346,8.5,6.56,10.51,N,Commerical
NY,10/30/2020,11/15/2020,1355,13,10.7,15.36,N,Commerical
OH,10/25/2020,11/10/2020,1661,7.3,5.84,8.79,N,Commerical
OK,10/31/2020,11/13/2020,1299,6,4.55,7.7,N,Commerical
OR,10/30/2020,11/13/2020,1757,2.3,1.18,3.58,N,Commerical
PA,10/26/2020,11/9/2020,1553,6.3,4.95,7.69,N,Commerical
PR,11/2/2020,11/14/2020,1300,3.8,2.59,5.17,N,Commerical
RI,11/2/2020,11/13/2020,1113,3.4,2.08,4.92,N,Commerical
SC,10/27/2020,11/11/2020,1556,8.4,6.94,9.99,N,Commerical
SD,10/27/2020,11/10/2020,152,8.8,3.94,15.36,N,Commerical
TN,10/26/2020,11/10/2020,1283,10.7,8.75,12.57,N,Commerical
TX,10/29/2020,11/11/2020,775,15.9,11.55,23.68,N,Commerical
UT,10/25/2020,11/9/2020,1119,6.9,4.22,10.79,N,Commerical
VA,10/29/2020,11/11/2020,1227,3.6,2.07,5.6,N,Commerical
VT,11/2/2020,11/13/2020,605,0.4,0.04,0.98,N,Commerical
WA,11/1/2020,11/13/2020,2169,3.4,2.45,4.44,N,Commerical
WI,10/26/2020,11/10/2020,1096,15.3,12.24,18.9,N,Commerical
WV,10/29/2020,11/15/2020,1095,5.5,3.03,9.35,N,Commerical
WY,10/26/2020,11/10/2020,402,4.8,2.36,7.62,N,Commerical
AK,11/14/2020,11/28/2020,621,6.5,4.28,9.14,N,Commerical
AL,11/14/2020,11/24/2020,1320,9,7.15,10.98,N,Commerical
AR,11/9/2020,11/25/2020,2115,7.5,6.25,8.89,N,Commerical
AZ,11/9/2020,11/25/2020,2301,11.4,9.47,13.63,N,Commerical
